Types_of_fluid,mh,mc,Th1,Th2,Tc1,Tc2,c,h,Volume_Concentration,Size_of_Particle,Ultrasonication_time,Speed_of_Magnetic_Stirrer,R,LMTD,e,U0,V,Rec,Prc,NTU,Dec,Nuc,hc,Ch,Cc,Cmin,Qmax,Q
Al2O3,0.083,0.066,72,63.03,33,36.76015152,9,3,0.05,80,60,1500,0.69,31.43,0.23,267.88,0.85,14878.11,3.48,0.29,5014.61,67.06,4887.27,0.249,0.594,0.249,9.711,2.23353
Al2O3,0.083,0.0833,72,64.2,33,35.11961148,11,3,0.05,80,60,1500,0.86,31.58,0.2,295.31,1.06,18589.27,3.48,0.25,6265.44,74.96,5015.76,0.249,0.9163,0.249,9.711,1.9422
Al2O3,0.083,0.0167,72,60.49108434,33,67.32,5,3,0.25,80,60,1500,0.11,15.29,0.88,250,0.21,3929.46,2.74,2.25,1324.41,33.65,2568.43,0.249,0.0835,0.0835,3.2565,2.86572
Al2O3,0.083,0.033,72,54.01301205,33,55.62,6,3,0.25,80,60,1500,0.21,24.57,0.58,266.6,0.38,7058.92,2.74,0.92,2379.18,45.11,3442.47,0.249,0.198,0.198,7.722,4.47876
Al2O3,0.083,0.05,72,54.84,33,43.6821,8,3,0.25,80,60,1500,0.31,27.49,0.44,273.48,0.64,11764.86,2.74,0.63,3965.29,58.23,4444.21,0.249,0.4,0.249,9.711,4.27284
Al2O3,0.083,0.066,72,57.57,33,38.44404545,10,3,0.25,80,60,1500,0.43,28.51,0.37,296.95,0.85,15687.26,2.74,0.51,5287.33,67.24,5131.86,0.249,0.66,0.249,9.711,3.59307
Al2O3,0.083,0.0833,72,59.13,33,36.20591236,12,3,0.25,80,60,1500,0.53,29.05,0.33,322.54,1.06,19600.26,2.74,0.44,6606.19,75.16,5736.3,0.249,0.9996,0.249,9.711,3.20463
Al2O3,0.083,0.0167,72,56.61990361,33,71.22,6,3,0.5,80,60,1500,0.069,11.3,0.98,319.61,0.21,4053.85,2.47,3.37,1366.33,33.83,2864.12,0.249,0.1002,0.1002,3.9078,3.829644
Al2O3,0.083,0.033,72,39.79915663,33,67.71,7,3,0.5,80,60,1500,0.14,14.16,0.89,339,0.38,7282.37,2.47,2.47,2454.49,45.34,3838.76,0.249,0.231,0.231,9.009,8.01801
Al2O3,0.083,0.05,72,45.48,33,47.6744,9,3,0.5,80,60,1500,0.21,21.58,0.68,351.73,0.64,12137.27,2.47,1.24,4090.82,58.54,4955.02,0.249,0.45,0.249,9.711,6.60348
Al2O3,0.083,0.066,72,49.38,33,40.75809917,11,3,0.5,80,60,1500,0.28,23.81,0.58,358.33,0.85,16183.84,2.47,0.94,5454.69,67.59,5722.63,0.249,0.726,0.249,9.711,5.63238
Al2O3,0.083,0.0833,72,52.5,33,37.16352255,14,3,0.5,80,60,1500,0.35,25.34,0.5,367.41,1.06,20220.7,2.47,0.78,6815.31,75.56,6396.66,0.249,1.1662,0.249,9.711,4.8555
